id,accession date,credit line,display dimensions,coordinates,public display,district,location,description,source,medium,descriptive medium,artist,title
42,1919,Gift of the San Francisco Bar Association,"Life size Head on a granite shaft 5' 6"" H","37.7793133,-122.4184094",Public Display,District 6,City Hall,"Elevator Lobby, 4th Floor",San Francisco Arts Commission,bronze,bronze,"Stackpole, Ralph",James M. Seawell (1836-1917)
43,1920,Memorial to Raphael Weill by the people of San Francisco.,"7 1/2"" H X 6' W; Base 8' H","37.784978, -122.500826",Public Display,District 1,Legion of Honor,north lawn,San Francisco Arts Commission,"bronze, granite",bronze statue with granite base,"Rodin, Auguste",The Three Shades
44,1921,Purchase funds raised by the San Francisco Firemen in 1922,6' H X 3',"37.7898163,-122.4116033",Public Display,District 3,870 Bush St.,,San Francisco Arts Commission,bronze,bronze,"Cummings, M. Earl",Dennis T. Sullivan (1852-1906) Plaque
45,1922,Gift of Dr. Morris Hertzstein,8' H,"37.7703537,-122.4666711",Public Display,District 1,Golden Gate Park,Music Concourse,San Francisco Arts Commission,bronze,bronze,"Patigian, Haig",General John J. Pershing (1860-1948)
46,1923,Bequest of Corinne Rideout for the use of the Park Department in embellishing Golden Gate Park.,5' H,"37.7703537,-122.4666711",Public Display,District 1,Golden Gate Park,Music Concourse,San Francisco Arts Commission,granite,granite,"Cummings, M. Earl",Rideout Fountain
47,1923,Commissioned by the architect upon construction of the Steinhart Aquarium.,"24"" in diameter","37.7699161,-122.4661846",Museum,District 1,Golden Gate Park,Academy of Sciences,San Francisco Arts Commission,bronze,bronze,"Walter, Edgar",Ignatz and Sigmund Steinhart (1840-1917)
48,1923,Commissioned by the Spring Valley Water Co.,,"37.787523, -122.410203",Public Display,District 3,425 Mason St.,Lobby,San Francisco Arts Commission,oil,oil,"Dixon, Maynard",Landscape
49,1924,,,"37.784978, -122.500826",Public Display,District 1,Legion of Honor,,San Francisco Arts Commission,bronze,bronze,"Rodin, Auguste",The Thinker
50,1926,Funds raised by popular subscription,,"37.7793133,-122.4184094",Public Display,District 6,City Hall,outside on Polk St.,San Francisco Arts Commission,bronze,bronze,"Patigian, Haig",Abraham Lincoln (1809-1865)
51,1927,Gift of Bay Area Spanish-American War veterans and American Legion posts.,8' H,"37.76904,-122.4835193",Public Display,District 1,Golden Gate Park,"JFK, south side",San Francisco Arts Commission,bronze,bronze,"McQuarrie, J.",Father William D. McKinnon ( -1902)
