id,accession date,artist,created_at,credit line,display dimensions,geometry,latlon,location_description,descriptive medium,medium,source,title
338,1988,"Anderson, Lois",01/01/1970 12:33:08 AM +0000,Commissioned by the San Francisco Arts Commission for the SF Recreation and Park Department,"36 1/2"" H X 32"" W","-122.4390499,37.7474162","37.7474162,-122.4390499",Public Display : District 7 : Douglas Playground Fieldhouse,"Tiles, glass, metal, buttons, jewelry on fiberglass wood","tiles, glass, metal, buttons, jewelry on fiberglass wood",San Francisco Arts Commission,Outdoor Wall Mosaic
339,1988,"Washington, Horace",01/01/1970 12:33:08 AM +0000,Purchased by the San Francisco Art Commission for the Northern Police Station.,"36"" H X 96"" W X 2 3/4"" D","-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : SFPD : Northern Station,Cast concrete wall relief,cast concrete wall relief,San Francisco Arts Commission,Untitled
340,1988,"Poethig, Johanna",01/01/1970 12:33:08 AM +0000,Purchased by the San Francisco Art Commission for the Father Lafred Boeddecker Recreation Center,11' H X 41' W,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 6 : Tenderloin Rec. Center : Jones and Eddy,Hand-cut and painted ceramic tile,hand-cut and painted ceramic tile,San Francisco Arts Commission,Flying Dragon-Snake-Monkey-Bird
341,1988,"Champagne, Lee Roy",01/01/1970 12:33:08 AM +0000,Commissioned by the San Francisco Art Commission for the Lombard Street Parking Garage.,,"-122.4360411,37.7998069","37.7998069,-122.4360411",City Department : DPT : Lombard and Fillmore Parking Garage,glass blocks and neon lights,glass blocks and neon lights,San Francisco Arts Commission,The Grail
342,1988,"Paunov, Zlatko",01/01/1970 12:33:08 AM +0000,Gift of Gandhi Memorial Foundation International,Sculpture: 8' H X 3 1/2' W X 4' D; Base: 3' H X 4' W X 4' D,"-122.3916833,37.795664","37.795664,-122.3916833",Public Display : District 3 : Ferry Plaza,Bronze,bronze,San Francisco Arts Commission,Mohandas K. Gandhi
343,1988,"Johanson, Patricia",,Commissioned by the Public Art Program for Sunnydale Pump Station,,"-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : DPW/PUC : Sunnydale Pump Station,Concrete and air blown mortar,concrete and air blown mortar,San Francisco Arts Commission,Endangered Garden
344,1988,"Graham, Gary W.",01/01/1970 12:33:08 AM +0000,Purchased by the San Francisco Art Commission for the Northern Police Station.,"48 1/2"" X 48 1/2""","-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : SFPD : Northern Station,Mosaic tile,mosaic tile,San Francisco Arts Commission,Police Shield
345,1989,"Deutsch, Richard",01/01/1970 12:33:09 AM +0000,Commissioned by the San Francisco Art Commission for the Clean Water Program,"6' 8"" diameter","-122.5069516,37.7416749","37.7416749,-122.5069516",Public Display : District 4 : Great Highway at Taraval,"Marble, bronze, terrazzo","marble, bronze, terrazzo",San Francisco Arts Commission,Propeller
346,1989,"Chomenko, Mary",01/01/1970 12:33:08 AM +0000,Commissioned by the San Francisco Art Commission for the Clean Water Program,"84 "" diameter approx","-122.5079516,37.749111","37.749111,-122.5079516",Public Display : District 4 : Great Highway at Pacheco,cast bronze,cast bronze,San Francisco Arts Commission,Ocean Beach Fossil
347,1989,"Martin, Fran",01/01/1970 12:33:09 AM +0000,Purchased by the San Francisco Art Commission for the Griffith Pump Station.,139 in. x 90 in. x 24 in.,"-122.3819341,37.7250945","37.7250945,-122.3819341",City Department : DPW/PUC : Griffith Pump Station : 1601 Griffith St.,"Steel, reinforced concrete, bronze and granite","steel, reinforced concrete, bronze and granite",San Francisco Arts Commission,Ndebele
348,1989,"Heavenston, Martha",01/01/1970 12:33:09 AM +0000,Commissioned by the San Francisco Art Commission for the Sixth and Folsom Recreation Center,"Total area of base and sculpture is 76' 7"" L X 35 '4"" W","-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 6 : 6th and Folsom Rec. Center,"Polyurethane foam, cement, acrylic admixture, fiberglass cloth, tile","polyurethane foam, cement, acrylic admixture, fiberglass cloth, tile",San Francisco Arts Commission,A World View
349,1989,"Ludwig, Helen",01/01/1970 12:33:09 AM +0000,Commissioned by the San Francisco Arts Commission for the Department of Public Health.,,"-122.4185344,37.7782753","37.7782753,-122.4185344",City Department : DPW : Recreation Center for the Handicapped : 101 Grove,Terrazzo paving,terrazzo paving,San Francisco Arts Commission,One Step at a Time
350,1990,"Gillman, Steve",01/01/1970 12:33:10 AM +0000,Purchased by the San Francisco Art Commission for Pier 7,,"-122.3880306,37.7869956","37.7869956,-122.3880306",Public Display : District 3 : Embarcadero : Entrance to Pier 7,Sunset red granite and bronze,sunset red granite and bronze,San Francisco Arts Commission,Bay Bench
351,1990,"Gillman, Steve",01/01/1970 12:33:10 AM +0000,Purchased by the San Francisco Art Commission for Pier 7,"17"" H X 102"" W X 102"" D","-122.3880306,37.7869956","37.7869956,-122.3880306",Public Display : District 3 : Embarcadero : Entrance to Pier 7,Sunset red granite and bronze,sunset red granite and bronze,San Francisco Arts Commission,Bay Bench
352,1990,"Gillman, Steve",01/01/1970 12:33:10 AM +0000,Purchased by the San Francisco Art Commission for Pier 7,,"-122.3880306,37.7869956","37.7869956,-122.3880306",Public Display : District 3 : Embarcadero : Entrance to Pier 7,Sunset red granite and bronze,sunset red granite and bronze,San Francisco Arts Commission,Bay Bench
353,1990,"Kahn, Ned",01/01/1970 12:33:10 AM +0000,Commissioned by the San Francisco Art Commission for the San Bruno Jail.,,"-122.4563772,37.62869","37.62869,-122.4563772","City Department : County Jail, San Bruno : Skyline Blvd. and Longview Dr.",Glass,glass,San Francisco Arts Commission,The Greenhouse Project
354,1990,"Marsh, Thomas",01/01/1970 12:33:10 AM +0000,Gift of the Goddess of Democracy Project,Sculpture: 10' H ; Base: 5',"-122.4048688,37.7947175","37.7947175,-122.4048688","Public Display : District 3 : Portsmouth Square, upper level",Bronze,bronze,San Francisco Arts Commission,Goddess of Democracy
355,1991,"Bongers, Jaap (Jacob)",01/01/1970 12:33:11 AM +0000,Commissioned by the San Francisco Art Commission for the Richmond Police Station.,72 in. x 72 in.,"-122.464215,37.7798186","37.7798186,-122.464215",City Department : Richmond Police Station : 6th Ave. and Anza : Lobby Floor,"Marble, granite and bronze","marble, granite and bronze",San Francisco Arts Commission,Untitled #1
356,1991,"Bongers, Jaap (Jacob)",01/01/1970 12:33:11 AM +0000,Commissioned by the San Francisco Art Commission for the Richmond Police Station.,48 in. x 48 in.,"-122.464215,37.7798186","37.7798186,-122.464215",City Department : Richmond Police Station : 6th Ave. and Anza,Sandblasted Granite,sandblasted granite,San Francisco Arts Commission,Untitled #2
357,1991,"Fleming, Alan",,Purchased by the San Francisco Art Commission for Kezar Stadium.,"Main Gate: 9' H X 17'6"" W","-122.4194155,37.7749295","37.7749295,-122.4194155","Public Display : District 1 : Kezar Stadium, N, S and West gates",Galvanized metal,galvanized metal,San Francisco Arts Commission,Kezar Stadium Gates
358,1991,"Jurs, Shelley",01/01/1970 12:33:11 AM +0000,Purchased by the San Francisco Art Commission for the Richmond Police Station.,,"-122.464215,37.7798186","37.7798186,-122.464215",City Department : Richmond Police Station : 6th Ave. and Anza : Front Door and T,Glass,glass,San Francisco Arts Commission,Good Luck Piece
359,1992,"Liu, Hung",01/01/1970 12:33:12 AM +0000,Purchased by the San Francisco Art Commission for the Moscone Center,"10.125"" W X 30"" (sheet)","-122.3940873,37.7816901","37.7816901,-122.3940873","Public Display : District 6 : Moscone Center, Esplanade","Mixed media: oil on canvas, acrylic on wall, glazed ceramic tiles","mixed media: oil on canvas, acrylic on wall, glazed ceramic tiles",San Francisco Arts Commission,Map No. 33
360,1992,"Reinertson, Lisa",01/01/1970 12:33:12 AM +0000,"San Francisco Art Commission/ Gift from Union Labor AFL-CIO (December 11, 1992)","Base: 54"" H X 20"" W X 24"" D Figure: 28"" H X 29"" W X 24"" D","-122.4184094,37.7793133","37.7793133,-122.4184094",Public Display : District 6 : City Hall,Bronze,bronze,San Francisco Arts Commission,John F. Shelley
361,1993,Po Shu Wang,01/01/1970 12:33:13 AM +0000,Commissioned by the Public Art Program for Firestation #37,,"-122.398967,37.7574923","37.7574923,-122.398967",Public Display : District 10 : 788 Wisconsin St.,bronze and copper,bronze and copper,San Francisco Arts Commission,Scaling Harmonics
362,1993,"Collins, Goto, Reiko",01/01/1970 12:33:13 AM +0000,Commissioned by the San Francisco Art Commission for the San Andreas Water Treatment Facility.,various; total Wall dimension is approx. 30' in length. Number of parts is 64.,"-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : PUC : San Andreas Water Ozonation Facility,"Photography, computer-generated text and sounds","photography, computer-generated text and sounds",San Francisco Arts Commission,Aqua Pura
363,1993,"Hasson, Bruce",01/01/1970 12:33:13 AM +0000,Commissioned by the San Francisco Art Commission for the Bush-Polk Parking Garage.,"each 93"" X 36""","-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : DPT : Bush and Polk Parking Garage,cast aluminum,cast aluminum,San Francisco Arts Commission,Trolleys
364,1993,"Sproat, Christopher Townsend",01/01/1970 12:33:13 AM +0000,Commissioned by the San Francisco Art Commission for the Ellis O'Farrell Parking Corporation.,275' L X 5' W,"-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : DPT : Ellis and O'Farrell Parking Garage,"Painted aluminum, stainless steel, fluorescent light and wood feet","painted aluminum, stainless steel, fluorescent light and wood feet",San Francisco Arts Commission,Spine
365,1994,"Quagliata, Narcissus",01/01/1970 12:33:13 AM +0000,Commissioned by the SFAC for the SF Downtown Parking Assoc and Dept of Parking,40 panels/ 8 per floor measuring 3 1/2 X 3 1/3 X 28' W,"-122.4047824,37.7835988","37.7835988,-122.4047824",City Department : DPT : Mission Parking Garage,"sandblasted, fused and cast glass","sandblasted, fused and cast glass",San Francisco Arts Commission,Oracle
366,1994,Joesam.,01/01/1970 12:33:14 AM +0000,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512","37.7631512,-122.4219961",San Francisco Mission District Juvenile Facility,Painted Aluminum,painted aluminum,San Francisco Arts Commission,Hope Flight
367,1994,Joesam.,01/01/1970 12:33:14 AM +0000,Art enrichment for the Mission Police Station,,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 8 : Mission District Police Station : JuvenileFacility,Painted Aluminum,painted aluminum,San Francisco Arts Commission,Hope Flight
368,1994,Joesam.,01/01/1970 12:33:14 AM +0000,Commissioned by the San Francisco Art Commission for San Francisco Police Department,,"-122.4219961,37.7631512","37.7631512,-122.4219961",San Francisco Mission District Juvenile Facility,Painted Aluminum,painted aluminum,San Francisco Arts Commission,Hope Flight
369,1994,Joesam.,01/01/1970 12:33:14 AM +0000,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512","37.7631512,-122.4219961",San Francisco Mission District Juvenile Facility,Painted Aluminum,painted aluminum,San Francisco Arts Commission,Hope Flight
370,1994,Joesam.,01/01/1970 12:33:14 AM +0000,Commissione by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512","37.7631512,-122.4219961",San Francisco Mission District Juvenile Facility,Painted Aluminum,painted aluminum,San Francisco Arts Commission,Hope Flight
371,1994,Joesam.,01/01/1970 12:33:14 AM +0000,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512","37.7631512,-122.4219961",San Francisco Mission District Juvenile Facility,Painted Aluminum,painted aluminum,San Francisco Arts Commission,Hope Flight
372,1994,Joesam.,01/01/1970 12:33:14 AM +0000,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512","37.7631512,-122.4219961",San Francisco Mission District Juvenile Facility,Painted Aluminum,painted aluminum,San Francisco Arts Commission,Hope Flight
373,1994,Joesam.,01/01/1970 12:33:14 AM +0000,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512","37.7631512,-122.4219961",San Francisco Mission District Juvenile Facility,Painted Aluminum,painted aluminum,San Francisco Arts Commission,Hope Flight
374,1994,Joesam.,01/01/1970 12:33:14 AM +0000,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512","37.7631512,-122.4219961",San Francisco Mission District Juvenile Facility,Painted Aluminum,painted aluminum,San Francisco Arts Commission,Hope Flight
375,1994,Joesam.,01/01/1970 12:33:14 AM +0000,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512","37.7631512,-122.4219961",San Francisco Mission District Juvenile Facility,Painted Aluminum,painted aluminum,San Francisco Arts Commission,Hope Flight
376,1994,Joesam.,01/01/1970 12:33:14 AM +0000,Commissioned for the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512","37.7631512,-122.4219961",San Francisco Mission District Juvenile Facility,Painted Aluminum,painted aluminum,San Francisco Arts Commission,Hope Flight
377,1994,Joesam.,01/01/1970 12:33:14 AM +0000,Commissioned for the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512","37.7631512,-122.4219961",San Francisco Mission District Juvenile Facility,Painted Aluminum,painted aluminum,San Francisco Arts Commission,Hope Flight
378,1994,Joesam.,01/01/1970 12:33:14 AM +0000,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512","37.7631512,-122.4219961",San Francisco Mission District Juvenile Facility,Painted Aluminum,painted aluminum,San Francisco Arts Commission,Hope Flight
379,1994,Joesam.,01/01/1970 12:33:14 AM +0000,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512","37.7631512,-122.4219961",San Francisco Mission District Juvenile Facility,Painted Aluminum,painted aluminum,San Francisco Arts Commission,Hope Flight
380,1994,Joesam.,01/01/1970 12:33:14 AM +0000,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512","37.7631512,-122.4219961",San Francisco Mission District Juvenile Facility,Painted Aluminum,painted aluminum,San Francisco Arts Commission,Hope Flight
381,1994,Joesam.,01/01/1970 12:33:14 AM +0000,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512","37.7631512,-122.4219961",San Francisco Mission District Juvenile Facility,Painted Aluminum,painted aluminum,San Francisco Arts Commission,Hope Flight
382,1994,Joesam.,01/01/1970 12:33:14 AM +0000,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512","37.7631512,-122.4219961",San Francisco Mission District Juvenile Facility,Painted Aluminum,painted aluminum,San Francisco Arts Commission,Hope Flight
383,1994,Joesam.,01/01/1970 12:33:14 AM +0000,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512","37.7631512,-122.4219961",San Francisco Mission District Juvenile Facility,Painted aluminum,painted aluminum,San Francisco Arts Commission,Hope Flight
384,1994,"Anargyros, Spero",01/01/1970 12:33:14 AM +0000,Gift,"97 X 30 X 27 1/2 ""","-122.4184094,37.7793133","37.7793133,-122.4184094",Public Display : District 6 : City Hall : Mayor's Rotunda,Cast bronze,cast bronze,San Francisco Arts Commission,George Moscone
385,1994,"Richards, Peter",01/01/1970 12:33:14 AM +0000,Commissioned by the San Francisco Art Commission for San Francisco General Hospital,420 in. x 1080 in.,"-122.4044431,37.7557795","37.7557795,-122.4044431","City Department : SFGH, Garden of Building 80","Plant material, soil, granite, crushed lava rock","plant material, soil, granite, crushed lava rock",San Francisco Arts Commission,"Companion Place, a Complement to the Comfort Garden"
386,1994,"Dwyer, Gary",4/1/1992,Commissioned for the San Francisco Arts Commission for the San Francisco Police Department,"18 1/2""H X 9'8""W X 20' (l); 18 1/2""H X 12 3/4""W Framed panels","-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : Mission Police Station : 630 Valencia Street : Lobby,Fabricated stone; text panels; lighting,fabricated stone; text panels; lighting,San Francisco Arts Commission,Seven Dancing Stones and Seven Dancing Stars Stories
387,1994,"Wong, Al",01/01/1970 12:33:14 AM +0000,Commissioned for Fire Station #2 by SF Art Commission,,"-122.4194155,37.7749295","37.7749295,-122.4194155","City Department : Fire Station #2, 1340 Powell","ceramic, glass, plexiglass, neon","ceramic, glass, plexiglass, neon",San Francisco Arts Commission,Light Clouds
388,1995,"Gordon, David and Shum, Hilda",,Purchased by the San Francisco Arts Commission for SFGH Mental Health Rehabilitation Facility,,"-122.4044431,37.7557795","37.7557795,-122.4044431",City Department : SFGH : Skilled Mental Health Nursing Facility : Day Rooms,Pigment on canvas,pigment on canvas,San Francisco Arts Commission,Column Vistas
389,1995,"Gonzales, George",01/01/1970 12:33:15 AM +0000,Purchased by the San Francisco Art Commission for the SFGH Mental Health Rehabilitation Facility,27 1/2' H X 16 'W X 16' D,"-122.4044431,37.7557795","37.7557795,-122.4044431",City Department : SFGH : MHRF : Courtyard,"Wood, glass, concrete","wood, glass, concrete",San Francisco Arts Commission,Wu Xing Pavilion
390,1995,"Di Suvero, Mark",01/01/1970 12:33:15 AM +0000,Purchased by the San Francisco Art Commission for the Waterfront Transportation Project,60' H X 30' W X 30' D,"-122.417975,37.776651","37.776651,-122.417975","Public Display : District 6 : Embarcadero, north of Ballpark",Metal and paint,metal and paint,San Francisco Arts Commission,Sea Change
391,1995,"Hollis, Douglas",01/01/1970 12:33:15 AM +0000,Commissioned for the new Sheriff's Facility by the San Francisco Art Commission.,,"-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : Sheriff's Facility : 7th St. and Bryant : Exterior and Roof,"Ceramic, glass, steel","ceramic, glass, steel",San Francisco Arts Commission,Ceramic Frit Windows and Mechanical Screens
392,1995,"Cheng, Carl",01/01/1970 12:33:15 AM +0000,Commissioned for the New Sheriff's Facility,,"-122.403768,37.775252","37.775252,-122.403768","Public Display : District 6 : Sheriff's Facility, 7th and Bryant","redwood, steel construction","redwood, steel construction",San Francisco Arts Commission,Heliostats
393,1995,"Scuri, Vicki",01/01/1970 12:33:15 AM +0000,Commissioned by the San Francisco Art Commission for the New Sheriff's Facility.,"18"" pavers throughout exterior entrance and interior lobby","-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : Sheriff's Facility : 7th St. and Bryant : Sidewalk,Cast concrete and tile,cast concrete and tile,San Francisco Arts Commission,Sheriff Star Plaza
394,1995,"Manwaring, Michael",01/01/1970 12:33:15 AM +0000,Commissioned by the San Francisco Art Commission for the North and South Embarcadero Project,,"-122.3943387,37.7976769","37.7976769,-122.3943387",Public Display : District 3 : Embarcadero,Bronze plaques on sidewalk; concrete pylons with enamel-painted plaques,bronze plaques on sidewalk; concrete pylons with enamel-painted plaques,San Francisco Arts Commission,Historic Signage Project
395,1995,"Acconci, Saitowitz and Soloman",01/01/1970 12:33:15 AM +0000,Commissioned by the San Francisco Art Commission for the Waterfront Project.,2 1/2 miles X 5 feet,"-122.4120591,37.8085303","37.8085303,-122.4120591",Public Display : District 3 : Embarcadero/Waterfront,"Black concrete, with a strip of glass blocks, to be illuminated at night","black concrete, with a strip of glass blocks, to be illuminated at night",San Francisco Arts Commission,Promenade Ribbon
396,1995,"Shum, Hilda",01/01/1970 12:33:15 AM +0000,Purchased by the San Francisco Art Commission for the Mental Health Rehabilitation Facility,,"-122.4194155,37.7749295","37.7749295,-122.4194155","City Department : SFGFH, Skilled Mental Health Nursing Facility",Aluminum sculpture with mosaic base,aluminum sculpture with mosaic base,San Francisco Arts Commission,Fish Tale
397,1995,Hunter and Ghidini,01/01/1970 12:33:15 AM +0000,Commissioned by the San Francisco Art Commission  for the San Francisco Municipal Railway,"20' H X 13 '6"" W X 250' D","-122.4194155,37.7749295","37.7749295,-122.4194155","Public Display : District 7 : Muni Platform, 19th Ave. at Holloway","Copper, structural steel, stainless steel, tile, plants, and multi-media","copper, structural steel, stainless steel, tile, plants, and multi-media",San Francisco Arts Commission,19th Avenue Shelter at Winston Drive
398,1995,Hunter and Ghidini,01/01/1970 12:33:15 AM +0000,Commissioned by the San Francisco Art Commission for The San Francisco Municipal Railway,"20' H X 13' 6"" W X 300' D","-122.4194155,37.7749295","37.7749295,-122.4194155","Public Display : District 7 : Muni Platform, 19th Ave. at Holloway","Copper, structural steel, stainless steel, tile, plants,","copper, structural steel, stainless steel, tile, plants,",San Francisco Arts Commission,19th Avenue Shelter at Holloway Avenue
399,1995,"Shively, Evan",01/01/1970 12:33:16 AM +0000,Commissioned for art enrichment of the Skilled Mental Health Facility,,"-122.4044431,37.7557795","37.7557795,-122.4044431",City Department : SFGH : MHRF,redwood,redwood,San Francisco Arts Commission,Untitled
400,1995,Joesam.,01/01/1970 12:33:15 AM +0000,Commissioned by the San Francisco Art Commission for the Tenderloin Children's Recreation Center.,"Seven figures, approximately 2 - 5 feet tall","-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 6 : Tenderloin Rec. Center : 570 Ellis : Front Fence,1/4 thick #836 galvanized steel,1/4 thick #836 galvanized steel,San Francisco Arts Commission,Folks in the 'Hood
401,1995,"Heavenston, Martha",01/01/1970 12:33:15 AM +0000,Commissioned by the San Francisco Art Commission for the Tenderloin Children's Recreation Center,"a) 6' 4"" H X 68"" W X 40""D; and b) 6' H X 64"" W X 40""D","-122.415637,37.784791","37.784791,-122.415637",Public Display : District 5 : Tenderloin Rec. Center,Concrete form with ceramic on top.,concrete form with ceramic on top.,San Francisco Arts Commission,a) Dancing in the Sea of Milk (woman); and b) African King with Animal Power (ma
402,1995,"Poethig, Johanna",01/01/1970 12:33:15 AM +0000,Commissioned by the San Francisco Art Commission for the Tenderloin Children's Recreation Center,Lobby Floor: Gameboard,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 6 : Tenderloin Tenderloin Children's Recreation Center,Glaze on ceramic tiles,glaze on ceramic tiles,San Francisco Arts Commission,Epic; Prediction; Gameboard; and H20
403,1996,"Aycock, Alice",01/01/1970 12:33:16 AM +0000,Commissioned by the SF Art Commission for the San Francisco Main Library,,"-122.415783,37.778864","37.778864,-122.415783","Public Display : District 6 : SFPL, Main : 100 Larkin St. : Periodicals ",Stainless steel,stainless steel,San Francisco Arts Commission,Functional and Fantasy Stair
404,1996,"Beldner, Ray",01/01/1970 12:33:16 AM +0000,Commissioned by the San Francisco Art Commission for San Francisco Municipal Railway. Collection of the City and County of San Francisco,"16 'H (max.) X 8 ' W (max.) X 4 1/2 "" D","-122.510037,37.7732589","37.7732589,-122.510037",Public Display : District 1 : MUNI Turnaround : La Playa and Cabrillo,Stainless steel mesh over steel armature with photo-etched plaques.,stainless steel mesh over steel armature with photo-etched plaques.,San Francisco Arts Commission,Playland Revisited
405,1996,"Aycock, Alice",01/01/1970 12:33:16 AM +0000,Commissioned by the San Francisco Art Commission for the San Francisco Main Library,,"-122.415783,37.778864","37.778864,-122.415783","Public Display : District 6 : SFPL, Main : 100 Larkin St. : Periodicals",Stainless steel,stainless steel,San Francisco Arts Commission,Cyclone Fragment
406,1996,"Bongers, Jaap (Jacob)",01/01/1970 12:33:16 AM +0000,Art enrichment for Fire Station #24,,"-122.4410438,37.7531196","37.7531196,-122.4410438","City Department : Fire Station #24, 100 Hoffman",Bronze,bronze,San Francisco Arts Commission,Fire
407,1996,"Saltos, Elizabeth",01/01/1970 12:33:15 AM +0000,Commissioned for art enrichment for Firestation #44,7 1/2' H X 20' W,"-122.4001425,37.7165812","37.7165812,-122.4001425","City Department : Fire Station #44, 1298 Girard Ave.",painted aluminum,painted aluminum,San Francisco Arts Commission,Diagonal Relief
408,1996,"Gonzalez, Arthur",01/01/1970 12:33:16 AM +0000,Commissioned by the San Francisco Art Commission for the Taraval Police Station.,,"-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : Taraval Police Station : 2345 24th Ave. : Lobby,ceramic sculptural relief,ceramic sculptural relief,San Francisco Arts Commission,Peaceable Kingdom
409,1996,"Donahue, Scott",01/01/1970 12:33:16 AM +0000,Commissioned by the San Francisco Art Commission for the Taraval Police Station.,,"-122.4194155,37.7749295","37.7749295,-122.4194155","City Department : Taraval Police Station, 2345 24th Ave., Community Room entranc",Fiberglass,fiberglass,San Francisco Arts Commission,"Kate, Allan, Javier, Ting, Sloanie"
410,1996,"Blake, Nayland W.",01/01/1970 12:33:16 AM +0000,Commissioned by the San Francisco Art Commission for the Public Library.,,"-122.415783,37.778864","37.778864,-122.415783","Public Display : District 6 : SFPL, Main : 100 Larkin : Grand Staircase in Atriu","painted steel, mirrors and fiberoptic lighting","painted steel, mirrors and fiberoptic lighting",San Francisco Arts Commission,Constellation
411,1996,"Chamberlain, Ann and Hamilton, Ann",01/01/1970 12:33:16 AM +0000,Commission by the San Francisco Art Commission for the New Main Library,,"-122.415783,37.778864","37.778864,-122.415783","Public Display : District 6 : SFPL, Main : 100 Larkin : 3rd, 4th and 5th Floors",Annotated library cards imbedded in artisan plaster forming walls,annotated library cards imbedded in artisan plaster forming walls,San Francisco Arts Commission,Untitled
412,1996,Mark/Charlie Evans/Brown,01/01/1970 12:33:16 AM +0000,,,"-122.415783,37.778864","37.778864,-122.415783","City Department : SFPL, Main Branch",Oil,oil,San Francisco Arts Commission,Into the Light
413,1996,"Yung, Rene",01/01/1970 12:33:16 AM +0000,Commissioned by the San Francisco Art Commission for Chinatown Branch of S.F. Public Library,,"-122.4098394,37.7952221","37.7952221,-122.4098394","Public Display : District 3 : SFPL, Chinatown : 1135 Powell : Reading Room","Copper, copper leaf, aluminum, and lighting","copper, copper leaf, aluminum, and lighting",San Francisco Arts Commission,Take Root
414,1997,"McDonnell, Mark",01/01/1970 12:33:17 AM +0000,Commissioned by San Francisco Art Commission Public Art Program for Fire Station #39,,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 7 : Fire Station #39 : North Facade,glass,glass,San Francisco Arts Commission,Glass Rondella
415,1997,"McDonnell, Mark",01/01/1970 12:33:17 AM +0000,Commissioned by San Francisco Art Commission Public Art Program for Fire Station #39,"30"" diameter","-122.2063083,37.4178457","37.4178457,-122.2063083",City Department : Firestation #39 : 1091 Portola,glass,glass,San Francisco Arts Commission,Glass Rondella
416,1997,"Chamberlain, Ann",01/01/1970 12:33:17 AM +0000,Commissioned by the SFAC Public Art Program for the new Municipal Parking Garage at SFGH,,"-122.4044431,37.7557795","37.7557795,-122.4044431","City Department : DPH : SFGH : Parking Garage, Facade",Photographic Images on Glass,photographic images on glass,San Francisco Arts Commission,Untitled Photographic Images
417,1997,"Riley, Cheryl",1991-97,Art enrichment for the Bayview Police Station,"11' 6"" H X 66"" (dia)","-122.3973036,37.7299279","37.7299279,-122.3973036",City Department : Bayview Police Station : 345 Williams,"Custom pre-cast concrete with integral color, crystals and minerals","custom pre-cast concrete with integral color, crystals and minerals",San Francisco Arts Commission,Granary Bobo Bench
418,#REF!,"Riley, Cheryl",1991-97,Art enrichment for Bayview Police Station,"24"" H X 20"" W X 5 3/4"" D","-122.3973036,37.7299279","37.7299279,-122.3973036",City Department : Bayview Police Station : 345 Williams,"Copper, Lacquer paint, Electrical wiring","copper, lacquer paint, electrical wiring",San Francisco Arts Commission,Maasai Warrior Shield Light Sconces
419,1997,"Riley, Cheryl",1991-97,Art enrichment for Bayview Police Station,30',"-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : Bayview Police Station : 345 Williams Ave. : Entrance Lobby,custom pre-cast concrete with integral color,custom pre-cast concrete with integral color,San Francisco Arts Commission,Akamba Inlay Floor
420,1997,"Rickey, George Warren",01/01/1970 12:33:02 AM +0000,Gift of Dr. Carl Djerassi to San Francisco Public Library,"Dimensions of the letter ""L"" 18' H X 7' 3"" W","-122.4194155,37.7749295","37.7749295,-122.4194155","Public Display : District 6 : Outside Main Library, Larkin St.",Stainless steel,stainless steel,San Francisco Arts Commission,Double L Eccentric Gyratory
