id,accession date,artist,created_at,credit line,display dimensions,geometry,latlon,location_description,descriptive medium,medium,source,title
563,2009,"Brothers, Beliz",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L3 : East wall,"glass, stainless steel and light","glass, stainless steel and light",San Francisco Arts Commission,Untitled light boxes and glass panels]
564,2009,"Brothers, Beliz",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L3 : Northeast wall,"glass, stainless steel and light","glass, stainless steel and light",San Francisco Arts Commission,Untitled light boxes and glass panels]
565,2009,"Brothers, Beliz",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L3 : Southeast wall,"glass, stainless steel and light","glass, stainless steel and light",San Francisco Arts Commission,Untitled light boxes and glass panels]
566,2009,"Brothers, Beliz",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : L3 : Northwest wall #1,"glass, stainless steel and light","glass, stainless steel and light",San Francisco Arts Commission,Untitled light boxes and glass panels]
567,2009,"Brothers, Beliz",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : L3 : Northwest wall #2,"glass, stainless steel and light","glass, stainless steel and light",San Francisco Arts Commission,Untitled light boxes and glass panels]
568,2009,"Brothers, Beliz",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : L3 : Southwest wall #1,"glass, stainless steel and light","glass, stainless steel and light",San Francisco Arts Commission,Untitled light boxes and glass panels]
569,2009,"Brothers, Beliz",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : L3 : Southwest wall #2,"glass, stainless steel and light","glass, stainless steel and light",San Francisco Arts Commission,Untitled light boxes and glass panels]
570,2009,"Brothers, Beliz",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : North Residence  : L3 : East Wall,"glass, stainless steel and light","glass, stainless steel and light",San Francisco Arts Commission,Untitled light boxes and glass panels]
571,2009,"Brothers, Beliz",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : L3 : Northeast wall,"glass, stainless steel and light","glass, stainless steel and light",San Francisco Arts Commission,Untitled light boxes and glass panels]
572,2009,"Brothers, Beliz",2008-2009,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence  : L3 : Southeast wall,"glass, stainless steel and light","glass, stainless steel and light",San Francisco Arts Commission,Untitled light boxes and glass panels]
573,2009,"Chamberlain, Ann and Lubell, Bernie",2009-2010,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L6 : Northwest Wall,Mixed media,mixed media,San Francisco Arts Commission,Water
574,2009,"Chamberlain, Ann and Lubell, Bernie",01/01/1970 12:33:28 AM +0000,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda Hospital : North and South Residences : L6,,,San Francisco Arts Commission,"Earth, Air, Fire, Water"
575,2009,"Chamberlain, Ann and Lubell, Bernie",2009-2010,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L6 : Southwest Wall,Mixed media,mixed media,San Francisco Arts Commission,Fire
576,2009,"Chamberlain, Ann and Lubell, Bernie",2009-2010,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L6 : East Wall,Mixed media,mixed media,San Francisco Arts Commission,Untitled
577,2009,"Chamberlain, Ann and Lubell, Bernie",2009-2010,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L6 : Northeast Wall,Cotton thread tapestry,cotton thread tapestry,San Francisco Arts Commission,Earth
578,2009,"Chamberlain, Ann and Lubell, Bernie",2009-2010,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : South Residence : L6 : Southeast Wall,Cotton thread tapestry,cotton thread tapestry,San Francisco Arts Commission,Air
579,2009,"Chamberlain, Ann and Lubell, Bernie",2009-2010,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : L6 : Northwest Wall,,,San Francisco Arts Commission,Water
580,2009,"Chamberlain, Ann and Lubell, Bernie",2009-2010,,,"-122.4556651,37.7478586","37.7478586,-122.4556651",City Department : Laguna Honda : North Residence : L6 : Southwest Wall,,,San Francisco Arts Commission,Fire
